business_name,legal_entity_name,physical_address,county,phone,email,license_number,expiration
NUURR INC.,,"1536 W PEACE ST CANTON, MS 39046",45-MADISON,6016225641,jaygosain@gmail.com,DSPY003145,2026-07-26
CannaMiss LLC,CANNAMISS LLC,"1130 N LAMAR BLVD OXFORD, MS 38655",36-LAFAYETTE,2125376794,cyrusn@gmail.com,DSPY006336,2026-07-28
Happy Leaf LLC,,"736 HIGHWAY 49 S RICHLAND, MS 39218",61-RANKIN,9014129440,afbbritton@yahoo.com,DSPY002461,2026-07-26
"Mississippi Provisions 5, LLC","Mississippi Provisions, LLC","624 HWY 90 Apt B5 BAY ST LOUIS, MS 39520",23-HANCOCK,3037092400,provisions5@msprovisions.com,DSPY006623,2026-08-01
"MS Mudd 2, LLC","MS Mudd, LLC","1809 DENNY AVE APT B5 PASCAGOULA, MS 39567",30-JACKSON,3034341803,mudd2@muddms.com,DSPY004630,2026-07-26
"High Cotton Wellness, LLC",,"422 RIVERWIND DR PEARL, MS 39208",61-RANKIN,6019874910,stan@southernskybrands.com,DSPY003661,2026-07-26
"Mississippi Provisions 1, LLC","Mississippi Provisions, LLC","1223 BIENVILLE BLVD APT B5 OCEAN SPRINGS, MS 39564",30-JACKSON,3037092400,steve@rootdownms.com,DSPY005630,2026-08-03
"MS Mudd 4, LLC","MS Mudd, LLC","1401 HIGHWAY 49 S APT B5 RICHLAND, MS 39218",61-RANKIN,3034341803,tpettennude@gmail.com,DSPY006961,2026-08-01
Green Magnolia of Meridian LLC,Green Magnolia of Meridian LLC,"4818 N PARK DR MERIDIAN, MS 39305",38-LAUDERDALE,6015629992,jeff.webblaw@gmail.com,DSPY004338,2026-07-26
"Green Magnolia of Canton, LLC","Green Magnolia of Canton, LLC","3142 S LIBERTY ST CANTON, MS 39046",45-MADISON,6012679762,jeff.webblaw@gmail.com,DSPY001345,2026-07-25
"MS Mudd 3, LLC","MS Mudd, LLC","117 SIDNEY RUNNELS DR APT B5 CANTON, MS 39046",45-MADISON,3034341803,tpettennude@gmail.com,DSPY003745,2026-07-26
"Rootdown 4, LLC",Rootdown LLC,"4775 OLD CANTON RD APT B5 JACKSON, MS 39211",25-HINDS,6628327676,rootdown4@rootdownms.com,DSPY003825,2026-07-26
Wildflower LLC,,"41314 CRANE DR ABERDEEN, MS 39730",48-MONROE,6625493892,wildflowersms@yahoo.com,DSPY003344,2026-07-26
"Apothecarium Green, LLC",,"1920 HIGHWAY 45 N COLUMBUS, MS 39705",44-LOWNDES,6625748033,apothecariumgreen@gmail.com,DSPY018844,2026-08-10
