id,name,slug,address,city,state,zip,phone,email,license_type,lat,lon,is_published
307018,Prestige Cannabis Co.,prestige-cannabis-co-1,1577 S Broadway,Edmond,Oklahoma,73013,(405) 508-1388,ordersprestigecannabis.edmond@gmail.com,medical,35.63761,-97.48414,true
67431,Prestige Cannabis Co. (OPEN 24/7),prestige-cannabis-co,4708 SE 29th Street,Del City,Oklahoma,73115,(405) 968-2985,prestigecannabishome@gmail.com,medical,35.434781,-97.431703,true
320923,Snaxland Dispensary,snaxland-dispensary,"4401 South Pennsylvania Avenue Oklahoma City, OK 73119",Oklahoma City,Oklahoma,73119,(405) 778-8002,snaxlanddispensary@gmail.com,medical,35.421615,-97.548342,true
300742,Tropic Canna - Lawton,big-chief-collective-2-1,1912 Northwest Cache Rd,Lawton,Oklahoma,73507,(405) 800-4800,tropiccannalawton@gmail.com,medical,34.62307,-98.419,true
67373,Roland Natural Health (Drive Thru 24/7),roland-natural-health,309 E Ray Fine Boulavard,Roland,Oklahoma,74954,(918) 503-4053,rolandnaturalhealth@yahoo.com,medical,35.405391,-94.49845,true
66332,Nature's Kiss,https-weedmaps-com-dispensaries-natures-kiss-oklahoma-city,5609 N Pennsylvania Ave,Oklahoma City,Oklahoma,73112,(405) 849-4439,OKCPennSquare@natureskissmmj.net,medical,35.526195,-97.54804,true
353201,Okie Wonderland Dispensary - OKC/The Village,okie-wonderland-okc,10717 N May Ave,Oklahoma City,Oklahoma,73120,(405) 849-4651,okieswonderland@gmail.com,medical,35.5783,-97.567727,true
367117,Miami Natural Health - Open 24 Hours,miami-natural-health,1805 E Steve Owens Blvd,Miami,Oklahoma,74354,(918) 919-3481,rolandnaturalhealth@yahoo.com,medical,36.871157,-94.859339,true
377553,Skunks Den Dispensary Tulsa by Okie Wonderland,skunks-den-tulsa,6702 S. Lewis Ave Suite B,Tulsa,Oklahoma,74136,(539) 867-1407,okieswonderland@gmail.com,medical,36.065459,-95.95859,true
401588,Elite Dispensary Mustang by Okie Wonderland - Now Open!,elite-cannabis-mustang,527 E. State Highway 152,Mustang,Oklahoma,73064,(405) 256-6735,OkiesWonderland@gmail.com,medical,35.392056,-97.715026,true
62415,Johnny Appleseed Remedies,johnny-appleseed-remedies,518 East Main St.,Henryetta,Oklahoma,74437,(918) 319-4026,dmouss.jar@gmail.com,medical,35.44021,-95.975191,true
336426,American Cannabis Company - Enid - Drive Thru,american-cannabis-company-13,1927 S Van Buren St,Enid,Oklahoma,73703,(580) 215-4592,acc.ecom.marketing@gmail.com,medical,36.376622,-97.889322,true
320999,Oklahoma's Best Cannabis,oklahoma-s-best-cannabis,316 Boat Club Rd,Cartwright,Oklahoma,74731,(580) 710-3024,info@oklahomasbest.cc,medical,33.853086,-96.570503,true
320147,American Cannabis Company - Chickasha - Drive Thru,american-cannabis-company-12,1426 s 4th st,Chickasha,Oklahoma,73018,(405) 295-4960,acc.ecom.marketing@gmail.com,medical,35.03612,-97.93678,true
377489,Humboldt Cannabis - Bartlesville,humboldt-cannabis-bartlesville,214 SE Frank Phillips Blvd,Bartlesville,Oklahoma,74003,(918) 213-4302,johntanner81@outlook.com,medical,36.751202,-95.975229,true
403820,White Barn Dispensary Bixby By Okie Wonderland: Now Open!,white-barn-by-okie-wonderland,13161 S Memorial Dr Suite A,Bixby,Oklahoma,74008,(918) 364-0420,alansoleyman@yahoo.com,medical,35.972918,-95.88587,true
338207,American Cannabis Company- Stillwater,american-cannabis-dispensary-stillwater,104 S Perkins,Stillwater,Oklahoma,74074,(405) 666-5771,acc.ecom.marketing@gmail.com,medical,36.12296,-97.05191,true
405889,NOW OPEN! - Okie Wonderland Dispensary- East Tulsa 129th,okie-wonderland-east-tulsa,12828 E 11th St,Tulsa,Oklahoma,74128,(918) 584-8667,okieswonderland@gmail.com,medical,36.14777,-95.83383,true
405389,Hi-Roots Cannabis Co - Yukon,hi-roots-cannabis-co-yukon,12204 W RENO AVE,Yukon,Oklahoma,73099,(405) 467-4209,hirootsnorman@gmail.com,medical,35.464,-97.7428,true
59657,Okie Wonderland Dispensary Tulsa- 51st St & Memorial,okie-wonderland-51-st,8125 E 51st St. Suite O,Tulsa,Oklahoma,74145,(918) 576-6793,thedankery918@gmail.com,medical,36.0901,-95.8863,true
303021,NEXT ELEVATION,next-elevation,1020 Northwest 27th Street Suite C,Moore,Oklahoma,73160,(405) 237-2799,incpatel@yahoo.com,medical,35.362951,-97.511106,true
