legal_name,dba_name,city
Dakota Herb LLC,Dakota Herb LLC,Aberdeen
The Flower Shop,The Flower Shop,Aberdeen
"Genesis Farms, LLC","Genesis Farms, LLC",Aberdeen
Redwater Cannabis Care LLC,Redwater Cannabis Care LLC,Belle Fourche
Mac's FTH LLC,Mac's From the Hills,Big Stone City
BHCC LLC,Dakota Green Dispensary,Box Elder
Dakota Herbs LLC,Dakota Herbs LLC,Brandon
The Flower Shop LLC,The Flower Shop,Brookings
Genesis Farms,Genesis Farms,Brookings
Stainless Steel LLC,King of ReLeaf,Chamberlain
Five Leaf Clover 4.20 LLC,Five Leaf Clover 4.20,Colome
The Broken Boot Dispensary,The Broken Boot Dispensary,Custer
Deadwood Growhouse LLC,Trails Head Cannabis Company,Deadwood
Bad River Cannabis LLC,Bad River Cannabis,Fort Pierre
BHCC LLC,Yellowstone Cannabis Care,Fort Pierre
The Dispensary,The Dispensary,Harrisburg
Unity Road LLC,Unity Road,Hartford
Dakota Kind,Dakota Kind,Hot Springs
Cannabis Connection,Cannabis Connection,Huron
Dakota Herb LLC,Dakota Herb LLC,Huron
Genesis Farms,Genesis Farms,Huron
Ante-Wade LLC,Indigenous Budz,Lake Andes
The Flower Shop LLC,The Flower Shop LLC,Mitchell
Genesis Farms,Genesis Farms,Mitchell
Raftis Enterprise Mitchell LLC,Superior Buds,Mitchell
"Dakota Health and Wellness, LLC",Dakota Health and Wellness,North Sioux City
Potsons LLC,Kind Care of South Dakota,North Sioux City
"Royzzz of North Sioux City, LLC","Royzzz of North Sioux City, LLC",North Sioux City
Blau Ernte LLC,True North Dispensary,North Sioux City
Genesis Farms,Genesis Farms,Pierre
CC Health LLC,CC Health,Rapid City
"Genesis Farms, LLC",Genesis Farms,Rapid City
"Genesis Farms, LLC",Genesis Farms,Rapid City
Genesis Farms LLC,Genesis Farms,Rapid City
Genesis Farms LLC,Genesis Farms,Rapid City
Genesis Farms LLC,Genesis Farms,Rapid City
Puffy's LLC,Puffy's LLC,Rapid City
Puffy's LLC,Puffy's LLC,Rapid City
Puffy's LLC,Puffy's LLC,Rapid City
PJS Holdings LLC,Canna-Care,Sioux Falls
East River Farms LLC,East River Farms LLC,Sioux Falls
The Flower Shop LLC,The Flower Shop LLC,Sioux Falls
"Genesis Farms, LLC","Genesis Farms, LLC",Sioux Falls
"Genesis Farms, LLC","Genesis Farms, LLC",Sioux Falls
"Royzzz of Sioux Falls, LLC",Royzzz,Sioux Falls
Genesis Farms,Genesis Farms,Spearfish
Northern Hills Alternative Health,Northern Hills Alternative Health,Sturgis
Puffy's LLC,Puffy's LLC,Sturgis
Puffy's LLC,Puffy's,Sturgis
Pure Bliss Cannabis,Pure Bliss Dispensary,Tea
Dakota Herb LLC,Dakota Herb LLC,Vermillion
Ruthie's LLC,"Ruthie's, LLC",Wagner
Dakota Dispensaries LLC,Dakota Dispensaries,Watertown
RBCX LLC,Dispensary of Watertown,Watertown
Royzzz of Watertown LLC,Royzzz of Watertown LLC,Watertown
CC Smoke LLC,Groovy Treez,Yankton
"Genesis Farms, LLC","Genesis Farms, LLC",Yankton
Green Machine Inc.,Elevate Cannabis Dispensary,Yankton
Happy Flower Healing,Happy Flower Healing,Yankton
"Royzzz of Gavins Point, LLC","Royzzz of Gavins Point, LLC",Yankton
