license,name,city
RTLR0106,"3 J's Cannabis, LLC",Milton
RTLR0056,31 North Holdings LLC,Waterbury Center
RTLR0076,"802 420 LLC D/B/A Rolling Twenties",Rockingham
RTLR0049,"802Apoth LLC d/b/a TRUE-802 Cannabis",Burlington
RTLR0118,"AMT Retail LLC d/b/a/ iDeal Cannabis",Sharon
RTLR0004,"Apex Arboretum Inc. dba Upstate Elevator Dispensary; dba Upstate Elevator Operators",Burlington
RTLR0046,"BB CANN Inc. DBA Float On",Burlington
RTLR0039,"Bern Legacy Cannabis, LLC : dba Bern Gallery Dispensary",Burlington
RTLR0038,"Big Intelligence Group, LLC dba/ Wild Legacy Cannabis",Morrisville
RTLR0078,"BWell VT Inc. DBA: Poultney Cannabis Supply",Poultney
RTLR0028,Cambridge Cannabis Company LLC,Jeffersonville
RTLR0040,"Cann Maxx, Inc.; Cann Maxx; Cannabis Maximus",Brattleboro
RTLR0030,Cannabis Caboose DBA De Pot Shop,Windsor
RTLR0010,Capital Cannabis Company Inc.,Montpelier
RTLR0069,"Carp & Sing, Inc d.b.a Gaston Weed Company",Essex Junction
RTLR0091,"Clean Country Dispensary, LLC DBA Notch Nugs",Cambridge
RTLR0051,Cloud9 Cannabis LLC,Fair Haven
RTLR0018,"Clover VT LLC, DBA Sunday Drive",Woodstock
RTLR0071,CRAFT CANNABIS CO. RETAIL LLC,Morrisville
RTLR0102,"Craftsbury Cannabis, LLC",Craftsbury
RTLR0032,"Dalen Ltd., d.b.a. Blue Sage",Waitsfield
RTLR0098,"Dames Inc, Dames",Barre
RTLR0058,Devils Den Cannabis Company,Bradford
RTLR0064,DP Holdings LLC DBA The Bud Stop,Danville
RTLR0021,Emeraldrose Retail LLC,Bristol
RTLR0101,"Flower First LLC d/b/a/ Sonny's",Groton
RTLR0020,Forbins Reserve Inc.,Barre
RTLR0095,Freedom Flower Direct Inc,Morrisville
RTLR0120,"FWR, Inc. DBA Grassroots Vermont DBA HelloHi",Winooski
RTLR0067,GoldMill Group Ltd. Co DBA Down to the Roots,Chester
RTLR0048,"GoodFire, LLP DBA Vermont GoodFire Cannabis",Waterbury Center
RTLR0007,"Gram Central, LLC",Montpelier
RTLR0105,GREEN HAVEN HERBALS LLC,Burlington
RTLR0065,Green Mountain Cannabis Works LLC,Manchester Center
RTLR0081,"Green Mountain Therapeutics, LLC d/b/a Green Mountain Therapeutics",Londonderry
RTLR0035,Green Union LLC d/b/a Green Union Dispensary,Plymouth
RTLR0115,Happy Trees Co DBA Dome City,Winooski
RTLR0116,"Herbmont Inc., Herbmont",Burlington
RTLR0080,Heybud Collective Corp,Burlington
RTLR0077,"High Fidelity, LLC DBA Lucky You",Burlington
RTLR0016,"Higher Elevation, LLC",Morrisville
RTLR0092,"JGMJ, LLC DBA Green Peak Dispensary",Newfane
